,title,year,link,rating,votes,genre,runtime
119,"Clovelly Cottage, Barnet",1895,/title/tt2191649/,5.1,9,"Documentary, Short, Drama",
120,Arrivée d'un train à Perrache,1896,/title/tt1184936/,5.9,448,"Documentary, Short",1 min
121,Бой Хорнбакер-Мерфи,1894,/title/tt0477315/,5.1,232,"Short, Sport",1 min
122,Dewars Scotch Whiskey,1897,/title/tt0229336/,4.4,262,Short,1 min
123,Cake Walk,1898,/title/tt0229287/,4.0,43,,
124,Le goûter des bébés,1897,/title/tt1741540/,5.3,233,Short,1 min
125,A Bar Room Scene,1894,/title/tt0240367/,5.3,32,Short,
126,La damnation de Faust,1898,/title/tt0223084/,5.8,75,"Short, Fantasy",
127,Нью-Йорк: Бруклинский мост,1896,/title/tt0256961/,5.3,282,"Short, Documentary",1 min
128,"Кармо, выемка кокса",1896,/title/tt0256672/,5.4,611,"Short, Documentary",1 min
129,Мельник и трубочист,I) (1897,/title/tt0000208/,5.8,423,"Comedy, Short",1 min
130,Тайна рыцаря,1899,/title/tt0224750/,6.3,367,"Short, Fantasy",2 min
131,Cortège arabe,1896,/title/tt0256607/,4.9,277,"Documentary, Short",1 min
132,La vie et la passion de Jésus-Christ,1898,/title/tt0222481/,5.7,102,"Short, Drama",11 min
133,Aladdin and the Wonderful Lamp,1899,/title/tt0000219/,7.2,21,"Short, Fantasy",
134,La Sortie de l'Usine Lumière,1897,/title/tt7408002/,6.4,75,"Documentary, Short",1 min
135,Young Griffo v. Battling Charles Barnett,1895,/title/tt0243675/,3.6,12,"Documentary, Short, Sport",4 min
136,La vague,1891,/title/tt3508566/,5.0,293,Short,1 min
137,Боксирующие мужчины,1891,/title/tt0241715/,4.8,741,"Documentary, Short, Action",1 min
138,Les rayons Röntgen,1898,/title/tt0000210/,5.9,12,Short,1 min
139,Пигмалион и Галатея,1898,/title/tt0223975/,5.4,99,"Short, Fantasy",2 min
140,La bonne absinthe,1899,/title/tt0000228/,5.0,184,Short,1 min
141,Fatima's Coochee-Coochee Dance,1896,/title/tt0285087/,5.5,240,Short,1 min
142,Baignade dans le torrent,1897,/title/tt0000140/,5.2,198,Short,1 min
143,Бар в Криппл-Крике,1899,/title/tt0000184/,4.9,227,"Western, Short",1 min
144,Les époux vont au lit,1896,/title/tt0441573/,7.2,11,Short,3 min
145,Импрессионист конца века,1899,/title/tt0000246/,6.5,825,"Short, Fantasy",1 min
